KundeID,Kunde,Segment,PLZ,Ort,StammFilialeID
K0079,Tara Yilmaz,Privat,50667,Köln,F2
K0080,Sven Zimmermann,Privat,50937,Köln,F2
K0081,Kira Wolf,Privat,50937,Köln,F2
K0082,Greta Yilmaz,Privat,51373,Leverkusen,F2
K0083,Anna Braun,Privat,50937,Köln,F2
K0084,Paul Hoffmann,Privat,82008,Unterhaching,F3
K0085,Paul Wolf,Privat,80331,München,F3
K0086,Lukas Wagner,Privat,82008,Unterhaching,F3
K0087,Noah Kaya,Privat,81541,München,F3
K0088,Noah Nowak,Privat,85521,Ottobrunn,F3
K0089,Umut Yilmaz,Privat,81541,München,F3
K0090,Agentur Pixel,Gewerbe,85521,Ottobrunn,F3
K0091,Ida Nowak,Privat,81541,München,F3
K0092,Elif Braun,Privat,80331,München,F3
K0093,Noah Lange,Privat,85521,Ottobrunn,F3
K0094,Clara Schulz,Privat,80331,München,F3
K0095,Lukas Richter,Privat,80331,München,F3
K0096,Greta Kaya,Privat,85521,Ottobrunn,F3
K0097,Blumen Blüte,Gewerbe,81541,München,F3
K0098,Finn Hoffmann,Privat,80331,München,F3
K0099,Clara Yilmaz,Privat,81541,München,F3
K0100,Handwerk Meyer,Gewerbe,85521,Ottobrunn,F3
K0101,Lukas Braun,Privat,85521,Ottobrunn,F3
K0102,Paul Yilmaz,Privat,82008,Unterhaching,F3
K0103,Ida Nowak,Privat,85521,Ottobrunn,F3
K0104,Café Speiche,Gewerbe,81541,München,F3
K0105,Greta Schmitt,Privat,81541,München,F3
K0106,Lukas Schmitt,Privat,81541,München,F3
K0107,David Kaya,Privat,82008,Unterhaching,F3
K0108,David Nowak,Privat,80331,München,F3
K0109,Mia Braun,Privat,82008,Unterhaching,F3
K0110,Paul Becker,Privat,80331,München,F3
K0111,Jonas Zimmermann,Privat,85521,Ottobrunn,F3
K0112,Blumen Blüte,Gewerbe,85521,Ottobrunn,F3
K0113,Clara Schmitt,Privat,80331,München,F3
K0114,Noah Richter,Privat,82008,Unterhaching,F3
K0115,Finn Schmitt,Privat,81541,München,F3
K0116,Architekturbüro Nord,Gewerbe,80331,München,F3
K0117,Jonas Schulz,Privat,85521,Ottobrunn,F3
K0118,Paul Braun,Privat,80331,München,F3
K0119,Umut Lange,Privat,85521,Ottobrunn,F3
K0120,Elif Lange,Privat,81541,München,F3
K0121,Greta Braun,Privat,81541,München,F3
K0122,Sven Hoffmann,Privat,81541,München,F3
K0123,Lukas Richter,Privat,81541,München,F3
K0124,Jonas Richter,Privat,81541,München,F3
K0125,Lukas Lange,Privat,81541,München,F3
K0126,Noah Krüger,Privat,80331,München,F3
K0127,Mia Lange,Privat,85521,Ottobrunn,F3
K0128,Umut Wagner,Privat,81541,München,F3
K0129,Ben Wagner,Privat,85521,Ottobrunn,F3
K0130,Mia Zimmermann,Privat,82008,Unterhaching,F3
K0131,Umut Nowak,Privat,80331,München,F3
K0132,Rana Hoffmann,Privat,80331,München,F3
K0133,Finn Zimmermann,Privat,85521,Ottobrunn,F3
K0134,David Hartmann,Privat,82008,Unterhaching,F3
K0135,Ben Hoffmann,Privat,04109,Leipzig,F4
K0136,Umut Lange,Privat,04109,Leipzig,F4
K0137,Elif Krüger,Privat,04416,Markkleeberg,F4
K0138,Anna Krüger,Privat,04109,Leipzig,F4
K0139,Lieferheld Süd,Gewerbe,04416,Markkleeberg,F4
K0140,Ida Becker,Privat,04435,Schkeuditz,F4
K0141,Ida Nowak,Privat,04275,Leipzig,F4
K0142,Agentur Pixel,Gewerbe,04275,Leipzig,F4
K0143,Rana Wolf,Privat,04435,Schkeuditz,F4
K0144,Ida Braun,Privat,04109,Leipzig,F4
K0145,Sven Richter,Privat,04416,Markkleeberg,F4
K0146,Clara Nowak,Privat,04275,Leipzig,F4
K0147,Sven Wagner,Privat,04435,Schkeuditz,F4
K0148,Rana Schulz,Privat,04109,Leipzig,F4
K0149,Agentur Pixel,Gewerbe,04435,Schkeuditz,F4
K0150,Elif Wolf,Privat,04109,Leipzig,F4
K0151,Kurierdienst Flink,Gewerbe,04275,Leipzig,F4
K0152,Noah Schulz,Privat,04416,Markkleeberg,F4
K0153,Agentur Pixel,Gewerbe,04435,Schkeuditz,F4
K0154,Physio am Park,Gewerbe,04435,Schkeuditz,F4
K0155,Jonas Zimmermann,Privat,04109,Leipzig,F4
K0156,Sven Nowak,Privat,04416,Markkleeberg,F4
K0157,Rana Schulz,Privat,04109,Leipzig,F4
K0158,Tara Braun,Privat,04435,Schkeuditz,F4
K0159,Physio am Park,Gewerbe,04435,Schkeuditz,F4
K0160,Jonas Hartmann,Privat,04435,Schkeuditz,F4
K0161,Lukas Becker,Privat,04416,Markkleeberg,F4
